"PwsAccountNumberName","CustomerID","DateCreated","DatePosted","DateDue","Terms","BillTo","ShipTo","WebLink","FooterMemo","CustomerReference","ReferenceNumber","BillingPeriod","Element","Quantity","Rate","Amount","Memo","Class","AccountLabel"
"43725798-437914:8MINUTENERGY","C-0006","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_8MINUTENERGY","SVCS_8MINUTENERGY","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"58392821-508074:ABSCO","C-0011","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Absco solutions(City Investos XIV)","SVCS_Absco solutions(City Investos XIV)","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 10 GB MRC","0.876","65.00","56.94","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41102"
"58392821-508074:ABSCO","C-0011","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Absco solutions(City Investos XIV)","SVCS_Absco solutions(City Investos XIV)","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","0.156804","0.156804","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41104"
"58392821-508074:ABSCO","C-0011","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Absco solutions(City Investos XIV)","SVCS_Absco solutions(City Investos XIV)","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"63374405-712267:Applied Motion Systems (AMS)","C-0080","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Applied Motion Systems","SVCS_Applied Motion Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 150 MB MRC","11.0","10.00","110.0","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41102"
"63374405-712267:Applied Motion Systems (AMS)","C-0080","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Applied Motion Systems","SVCS_Applied Motion Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SMS","1","0.25","0.25","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41106"
"63374405-712267:Applied Motion Systems (AMS)","C-0080","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Applied Motion Systems","SVCS_Applied Motion Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","1.969","1.969","Public Network: 2020/06/01 - 2020/06/30","VZW_742006538_PUB--Verizon Public","41104"
"63374405-712267:Applied Motion Systems (AMS)","C-0080","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Applied Motion Systems","SVCS_Applied Motion Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"97453818-763742:AECOM","C-0033","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_AECOM","SVCS_AECOM","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"23605622-140320:AIRCONTROLSYSTEMS","C-1202","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Tower View Health","SVCS_Tower View Health","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
